sample	chr	startpos	endpos	nMajor	nMinor
TumorSample-A	1	809641	1185634	2	0
TumorSample-A	1	1186245	1376092	1	1
TumorSample-A	1	1376336	1408286	3	0
TumorSample-A	1	1411323	1569875	2	0
TumorSample-A	1	1570587	1613974	3	0
TumorSample-A	1	1617375	2130530	2	0
TumorSample-A	1	2134510	2151050	3	0
TumorSample-A	1	2151127	2164143	2	1
TumorSample-A	1	2164260	2186920	1	1
TumorSample-A	1	2201613	2395479	2	1
TumorSample-A	1	2395636	2793011	3	0
TumorSample-A	1	2793437	2853368	2	0
TumorSample-A	1	2860209	2991506	3	0
TumorSample-A	1	2991824	3294894	1	1
TumorSample-A	1	3295750	3298756	2	1
TumorSample-A	1	3299068	3659047	1	1
TumorSample-A	1	3659496	3768375	2	0
TumorSample-A	1	3779436	3805295	3	0
TumorSample-A	1	3805399	3829690	2	0
TumorSample-A	1	3830019	3845516	3	0
TumorSample-A	1	3845852	3996296	2	0
TumorSample-A	1	3998384	4042529	3	0
TumorSample-A	1	4043762	4107225	2	0
TumorSample-A	1	4108593	4133366	3	0
TumorSample-A	1	4133404	4137358	2	0
TumorSample-A	1	4137582	4265529	3	0
TumorSample-A	1	4266308	4272670	2	0
TumorSample-A	1	4273230	4304881	3	0
TumorSample-A	1	4305089	4322182	2	0
TumorSample-A	1	4322729	4453889	3	0
TumorSample-A	1	4455217	4481384	2	0
TumorSample-A	1	4488570	4506115	1	1
TumorSample-A	1	4506455	4508134	2	1
TumorSample-A	1	4508168	4537882	1	1
TumorSample-A	1	4537941	4543264	2	1
TumorSample-A	1	4543703	4561404	3	0
TumorSample-A	1	4563363	4567919	2	0
TumorSample-A	1	4568639	4578001	3	0
TumorSample-A	1	4578177	4604577	2	0
TumorSample-A	1	4605172	4616109	3	0
TumorSample-A	1	4616877	4658696	2	0
TumorSample-A	1	4658960	4743526	3	0
TumorSample-A	1	4743576	4794265	2	0
TumorSample-A	1	4794889	5004612	3	0
TumorSample-A	1	5005056	5082724	1	1
TumorSample-A	1	5082758	5259668	3	0
TumorSample-A	1	5259763	5261319	2	1
TumorSample-A	1	5261381	5341854	1	1
TumorSample-A	1	5342112	5367040	2	1
TumorSample-A	1	5367320	5501352	2	0
TumorSample-A	1	5501372	5538108	2	1
TumorSample-A	1	5543956	5602685	3	0
TumorSample-A	1	5602768	5647059	2	1
TumorSample-A	1	5647102	5813048	2	0
TumorSample-A	1	5815158	6081589	1	1
TumorSample-A	1	6084854	7266615	2	0
TumorSample-A	1	7266687	7342960	2	1
TumorSample-A	1	7343510	7540845	1	1
TumorSample-A	1	7541776	8125117	2	0
TumorSample-A	1	8125134	8947497	1	1
TumorSample-A	1	8947986	9084954	3	0
TumorSample-A	1	9085221	9296617	1	1
TumorSample-A	1	9297889	9421776	2	0
TumorSample-A	1	9423772	9898836	1	1
TumorSample-A	1	9898993	10718982	2	1
TumorSample-A	1	10720670	10785728	2	0
TumorSample-A	1	10785764	10814833	1	1
TumorSample-A	1	10815013	10829407	2	0
